song,album,year,genre,order,chords,rhythm,words,play no vocals,play with vocals,progress,piano,improved vocals,next level progress
Tim McGraw,Taylor Swift,2006,Country,1,0,0,1,0,0,0.2,0,0,0.2
Picture to Burn,Taylor Swift,2006,Country,2,0,0,0,0,0,0,0,0,0
Teardrops on My Guitar,Taylor Swift,2006,Country,3,0,0,0,0,0,0,0,0,0
A Place in This World,Taylor Swift,2006,Country,4,0,0,0,0,0,0,0,0,0
Cold as You,Taylor Swift,2006,Country,5,0,0,0,0,0,0,0,0,0
The Outside,Taylor Swift,2006,Country,6,0,0,0,0,0,0,0,0,0
Tied Together with a Smile,Taylor Swift,2006,Country,7,1,0,1,0,0,0.4,0,0,0.4
Stay Beautiful,Taylor Swift,2006,Country,8,0,0,0,0,0,0,0,0,0
Should've Said No,Taylor Swift,2006,Country,9,0,0,0,0,0,0,0,0,0
Mary's Song (Oh My My My),Taylor Swift,2006,Country,10,0,0,0,0,0,0,0,0,0
Our Song,Taylor Swift,2006,Country,11,0,0,1,0,0,0.2,0,0,0.2
I'm Only Me When I'm with You,Taylor Swift,2006,Country,12,0,0,0,0,0,0,0,0,0
Invisible,Taylor Swift,2006,Country,13,0,0,0,0,0,0,0,0,0
A Perfectly Good Heart,Taylor Swift,2006,Country,14,0,0,0,0,0,0,0,0,0
Fearless (Taylor's Version),Fearless (Taylor's Version),2021,"Pop, Country",1,0,0,0,0,0,0,0,0,0
Fifteen (Taylor's Version),Fearless (Taylor's Version),2021,"Pop, Country",2,0,0,0,0,0,0,0,0,0
Love Story (Taylor's Version),Fearless (Taylor's Version),2021,"Pop, Country",3,0,0,0,0,0,0,0,0,0
Hey Stephen (Taylor's Version),Fearless (Taylor's Version),2021,"Pop, Country",4,0,0,0,0,0,0,0,0,0
White Horse (Taylor's Version),Fearless (Taylor's Version),2021,"Pop, Country",5,0,0,0,0,0,0,0,0,0
You Belong With Me (Taylor's Version),Fearless (Taylor's Version),2021,"Pop, Country",6,0,0,0,0,0,0,0,0,0
Breathe (Taylor's Version) (feat. Colbie Caillat),Fearless (Taylor's Version),2021,"Pop, Country",7,0,0,0,0,0,0,0,0,0
Tell Me Why (Taylor's Version),Fearless (Taylor's Version),2021,"Pop, Country",8,0,0,0,0,0,0,0,0,0
You're Not Sorry (Taylor's Version),Fearless (Taylor's Version),2021,"Pop, Country",9,0,0,0,0,0,0,0,0,0
The Way I Loved You (Taylor's Version),Fearless (Taylor's Version),2021,"Pop, Country",10,0,0,0,0,0,0,0,0,0
Forever & Always (Taylor's Version),Fearless (Taylor's Version),2021,"Pop, Country",11,0,0,0,0,0,0,0,0,0
The Best Day (Taylor's Version),Fearless (Taylor's Version),2021,"Pop, Country",12,0,0,0,0,0,0,0,0,0
Change (Taylor's Version),Fearless (Taylor's Version),2021,"Pop, Country",13,0,0,0,0,0,0,0,0,0
Jump Then Fall (Taylor's Version),Fearless (Taylor's Version),2021,"Pop, Country",14,0,0,0,0,0,0,0,0,0
Untouchable (Taylor's Version),Fearless (Taylor's Version),2021,"Pop, Country",15,0,0,0,0,0,0,0,0,0
Forever & Always (Piano Version) (Taylor's Version),Fearless (Taylor's Version),2021,"Pop, Country",16,0,0,0,0,0,0,0,0,0
Come In With The Rain (Taylor's Version),Fearless (Taylor's Version),2021,"Pop, Country",17,0,0,0,0,0,0,0,0,0
Superstar (Taylor's Version),Fearless (Taylor's Version),2021,"Pop, Country",18,0,0,0,0,0,0,0,0,0
The Other Side Of The Door (Taylor's Version),Fearless (Taylor's Version),2021,"Pop, Country",19,0,0,0,0,0,0,0,0,0
Today Was A Fairytale (Taylor's Version),Fearless (Taylor's Version),2021,"Pop, Country",20,0,0,0,0,0,0,0,0,0
You All Over Me (Taylor's Version) (feat. Maren Morris),Fearless (Taylor's Version),2021,"Pop, Country",21,0,0,0,0,0,0,0,0,0
Mr. Perfectly Fine (Taylor's Version),Fearless (Taylor's Version),2021,"Pop, Country",22,0,0,0,0,0,0,0,0,0
We Were Happy (Taylor's Version),Fearless (Taylor's Version),2021,"Pop, Country",23,0,0,0,0,0,0,0,0,0
That's When (Taylor's Version) (feat. Keith Urban),Fearless (Taylor's Version),2021,"Pop, Country",24,0,0,0,0,0,0,0,0,0
Don't You (Taylor's Version),Fearless (Taylor's Version),2021,"Pop, Country",25,0,0,0,0,0,0,0,0,0
Bye Bye Baby (Taylor's Version),Fearless (Taylor's Version),2021,"Pop, Country",26,0,0,0,0,0,0,0,0,0
Mine,Speak Now,2010,Country Pop,1,0,0,1,0,0,0.2,0,0,0.2
Sparks Fly,Speak Now,2010,Country Pop,2,0,0,0,0,0,0,0,0,0
Back to December,Speak Now,2010,Country Pop,3,0,0,0,0,0,0,0,0,0
Speak Now,Speak Now,2010,Country Pop,4,0,0,0,0,0,0,0,0,0
Dear John,Speak Now,2010,Country Pop,5,0,0,0,0,0,0,0,0,0
Mean,Speak Now,2010,Country Pop,6,0,0,0,0,0,0,0,0,0
The Story of Us,Speak Now,2010,Country Pop,7,0,0,0,0,0,0,0,0,0
Never Grow Up,Speak Now,2010,Country Pop,8,0,0,0,0,0,0,0,0,0
Enchanted,Speak Now,2010,Country Pop,9,0,0,0,0,0,0,0,0,0
Better Than Revenge,Speak Now,2010,Country Pop,10,0,0,0,0,0,0,0,0,0
Innocent,Speak Now,2010,Country Pop,11,0,0,0,0,0,0,0,0,0
Haunted,Speak Now,2010,Country Pop,12,0,0,0,0,0,0,0,0,0
Last Kiss,Speak Now,2010,Country Pop,13,0,0,0,0,0,0,0,0,0
Long Live,Speak Now,2010,Country Pop,14,0,0,0,0,0,0,0,0,0
Ours,Speak Now,2011,Country Pop,15,0,0,0,0,0,0,0,0,0
If This Was a Movie,Speak Now,2011,Country Pop,16,0,0,0,0,0,0,0,0,0
Superman,Speak Now,2011,Country Pop,17,0,0,0,0,0,0,0,0,0
State of Grace (Taylor's Version),Red (Taylor's Version),2021,Pop Rock,1,0,0,0,0,0,0,0,0,0
Red (Taylor's Version),Red (Taylor's Version),2021,Country Pop,2,0,0,0,0,0,0,0,0,0
Treacherous (Taylor's Version),Red (Taylor's Version),2021,Country Pop,3,0,0,0,0,0,0,0,0,0
I Knew You Were Trouble (Taylor's Version),Red (Taylor's Version),2021,Electropop,4,0,0,0,0,0,0,0,0,0
All Too Well (Taylor's Version),Red (Taylor's Version),2021,Country Pop,5,0,0,0,0,0,0,0,0,0
22 (Taylor's Version),Red (Taylor's Version),2021,Pop Rock,6,0,0,0,0,0,0,0,0,0
I Almost Do (Taylor's Version),Red (Taylor's Version),2021,Country Pop,7,0,0,0,0,0,0,0,0,0
We Are Never Ever Getting Back Together (Taylor's Version),Red (Taylor's Version),2021,Pop,8,0,0,0,0,0,0,0,0,0
Stay Stay Stay (Taylor's Version),Red (Taylor's Version),2021,Country Pop,9,0,0,0,0,0,0,0,0,0
The Last Time (feat. Gary Lightbody) [Taylor's Version],Red (Taylor's Version),2021,Country Pop,10,0,0,0,0,0,0,0,0,0
Holy Ground (Taylor's Version),Red (Taylor's Version),2021,Country Pop,11,0,0,0,0,0,0,0,0,0
Sad Beautiful Tragic (Taylor's Version),Red (Taylor's Version),2021,Country Pop,12,0,0,0,0,0,0,0,0,0
The Lucky One (Taylor's Version),Red (Taylor's Version),2021,Country Pop,13,0,0,0,0,0,0,0,0,0
Everything Has Changed (feat. Ed Sheeran) [Taylor's Version],Red (Taylor's Version),2021,Country Pop,14,0,0,0,0,0,0,0,0,0
Starlight (Taylor's Version),Red (Taylor's Version),2021,Pop Rock,15,0,0,0,0,0,0,0,0,0
Begin Again (Taylor's Version),Red (Taylor's Version),2021,Country Pop,16,0,0,0,0,0,0,0,0,0
Girl at Home (Taylor's Version),Red (Taylor's Version),2021,Country Pop,17,0,0,0,0,0,0,0,0,0
Red (Taylor's Version) (Taylor's Version),Red (Taylor's Version),2021,Country Pop,18,0,0,0,0,0,0,0,0,0
State of Grace Acoustic (Taylor's Version),Red (Taylor's Version),2021,Pop Rock,19,0,0,0,0,0,0,0,0,0
Ronan (Taylor's Version) (Bonus Track),Red (Taylor's Version),2021,Pop,20,0,0,0,0,0,0,0,0,0
Better Man (Taylor's Version) (Bonus Track),Red (Taylor's Version),2021,Country Pop,21,0,0,0,0,0,0,0,0,0
Nothing New (feat. Phoebe Bridgers) (Bonus Track),Red (Taylor's Version),2021,Indie folk,22,0,0,0,0,0,0,0,0,0
Welcome to New York,1989,2014,Pop,1,0,0,0,0,0,0,0,0,0
Blank Space,1989,2014,Pop,2,0,0,1,0,0,0.2,0,0,0.2
Style,1989,2014,Pop,3,0,0,0,0,0,0,0,0,0
Out of the Woods,1989,2014,Pop,4,0,0,0,0,0,0,0,0,0
All You Had to Do Was Stay,1989,2014,Pop,5,0,0,0,0,0,0,0,0,0
Shake It Off,1989,2014,Pop,6,0,0,0,0,0,0,0,0,0
I Wish You Would,1989,2014,Pop,7,0,0,0,0,0,0,0,0,0
Bad Blood,1989,2014,Pop,8,0,0,0,0,0,0,0,0,0
Wildest Dreams,1989,2014,Pop,9,0,0,0,0,0,0,0,0,0
How You Get the Girl,1989,2014,Pop,10,0,0,0,0,0,0,0,0,0
This Love,1989,2014,Pop,11,0,0,0,0,0,0,0,0,0
I Know Places,1989,2014,Pop,12,0,0,0,0,0,0,0,0,0
Clean,1989,2014,Pop,13,0,0,0,0,0,0,0,0,0
Wonderland,1989,2014,Pop,14,0,0,0,0,0,0,0,0,0
You Are in Love,1989,2014,Pop,15,0,0,0,0,0,0,0,0,0
